Background samples,,,,,,
Person,Short name,Cross section [pb],Lumi weight [pb^-1],Events weighted,Sample name,Comment
Dennis,MC_QCD_Pt-300to470_MuEnrichedPt5,797.3527,9953.519,7936465,/QCD_Pt-300to470_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Dennis,MC_QCD_Pt-470to600_MuEnrichedPt5,79.0255,48724.336,3850466.818,/QCD_Pt-470to600_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Dennis,MC_QCD_Pt-600to800_MuEnrichedPt5,25.0951,159720.684,4008200,/QCD_Pt-600to800_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Dennis,MC_QCD_Pt-800to1000_MuEnrichedPt5,4.7074,841182.805,"3,959,757",/QCD_Pt-800to1000_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Dennis,MC_QCD_Pt-1000toInf_MuEnrichedPt5,1.6213,2452373.716,3976075,/QCD_Pt-1000toInf_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
,,2302200.0000,0.000,,/QCD_Pt-15to20_EMEnriched_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Svenja,MC_QCD_Pt20to30_EMEnriched,5352960.0000,1.722,9218839,/QCD_Pt-20to30_EMEnriched_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Svenja,MC_QCD_Pt30to50_EMEnriched,9928000.0000,0.476,4730140,/QCD_Pt-30to50_EMEnriched_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Svenja,MC_QCD_Pt50to80_EMEnriched,2890800.0000,8.120,23473892,/QCD_Pt-50to80_EMEnriched_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Svenja,MC_QCD_Pt80to120_EMEnriched,422800.0000,84.771,35841321,/QCD_Pt-80to120_EMEnriched_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Svenja,MC_QCD_Pt120to170_EMEnriched,77274.0000,1006.420,77770116,/QCD_Pt-120to170_EMEnriched_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Svenja,MC_QCD_Pt170to300_EMEnriched,18810.0000,613.497,11539879,/QCD_Pt-170to300_EMEnriched_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Svenja,MC_QCD_Pt300toInf_EMEnriched,1350.0000,5461.578,7373130,/QCD_Pt-300toInf_EMEnriched_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Doug,QCD_Pt_15to20_bcToE,254596.0000,10.548,2685563,/QCD_Pt_15to20_bcToE_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Doug,QCD_Pt_20to30_bcToE,328999.9300,33.098,10889299.93,/QCD_Pt_20to30_bcToE_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Doug,QCD_Pt_30to80_bcToE,405623.4000,37.789,15327935.41,/QCD_Pt_30to80_bcToE_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Doug,QCD_Pt_80to170_bcToE,38104.4300,393.038,14976480,/QCD_Pt_80to170_bcToE_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Doug,QCD_Pt_170to250_bcToE,2635.8133,3612.916,9522972.975,/QCD_Pt_170to250_bcToE_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Doug,QCD_Pt_250toInf_bcToE,711.9259,13727.433,9772915,/QCD_Pt_250toInf_bcToE_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Anastasia,MC_QCD_HT50to100,,,4096999,/QCD_HT50to100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
